MONTHLY SUMMARY
Month,Shipping,$0.50 per Pick,$2 Order Fee,$2.00 Order Fee,Packaging,Master Carton on Shelf Storage,Medium Bin Storage,Pallet Storage,Small Bin Storage,Account Management Fee,Ad-hoc,Total
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236793,,,4.88
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236809,,,4.66
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236823,,,5.68
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236939,,,4.88
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236946,,,5.47
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236953,,,5.91
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500237004,,,6.67
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500237011,,,5.36
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW21342003,,,6.81
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW38669013,,,7.15
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500239503,,,4.66
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500239510,,,4.99
2026-03-23,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420164069261290400217415285202,,,6.16
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW37993067,,,7.60
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW34807675,,,6.81
2026-03-23,,,2026-03,void,Shipping,ups ground-saver-over-1lb,1Z142A5BYW34807675,,,-6.81
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW07778203,,,6.81
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500241483,,,4.44
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500241490,,,5.86
2026-03-24,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW34126777,,,7.60
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500241568,,,4.99
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500241575,,,4.66
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500243111,,,4.78
2026-03-24,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420130379261290400217415270413,,,6.14
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500243753,,,4.68
2026-03-25,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW22655218,,,7.60
2026-03-25,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500244217,,,4.48
2026-03-25,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500244224,,,4.55
2026-03-25,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500244231,,,5.36
2026-03-25,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420119419261290400217415285431,,,6.31
2026-03-25,,,2026-03,void,Shipping,ups ground-saver-over-1lb,1Z142A5BYW22655218,,,-7.60
2026-03-25,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420378079261290400217415260476,,,7.44
2026-03-25,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420656229261290400217415275494,,,5.52
2026-03-25,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW21439267,,,6.29
2026-03-26,,,2026-03,charge,Ad-hoc,FBA and Reboxing - $6 per carton," Order: FBA199JHGXW, FBA199JL872P, FBA199JJ8MLH, FBA199JL57WM, FBA199JKZ39W","FBA199JHGXW, FBA199JL872P, FBA199JJ8MLH, FBA199JL57WM, FBA199JKZ39W",1,30.00
2026-03-26,,,2026-03,charge,Packaging,4x4x4,9214490374015500256326,,1,0.36
2026-03-26,,,2026-03,charge,Packaging,8x6x4,1Z142A5BYW13058685,,1,0.62
2026-03-26,,,2026-03,charge,Packaging,4x4x4,9214490374015500256562,,1,0.36
2026-03-26,,,2026-03,charge,Packaging,4x4x4,9214490374015500256791,,1,0.36
2026-03-26,,,2026-03,charge,Packaging,#000 Bubble Mailer,420974719261290400217415290626,,1,0.18
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500256326,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500256326,,1,0.50
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,1Z142A5BYW13058685,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,1Z142A5BYW13058685,,7,3.50
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500256548,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500256548,,2,1.00
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500256555,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500256555,,2,1.00
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500256562,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500256562,,1,0.50
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500256784,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500256784,,1,0.50
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500256791,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500256791,,1,0.50
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500256807,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500256807,,2,1.00
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,420850209261290400217415255533,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,420850209261290400217415255533,,4,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$2 Order Fee,420974719261290400217415290626,,1,2.00
2026-03-26,,,2026-03,charge,Pick/Pack,$0.50 per Pick,420974719261290400217415290626,,1,0.50
2026-03-26,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW26852364,,,6.81
2026-03-26,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW19970606,,,7.15
2026-03-26,,,2026-03,void,Shipping,ups ground-saver-over-1lb,1Z142A5BYW19970606,,,-7.15
2026-03-26,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW02357819,,,7.15
2026-03-26,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500248574,,,4.55
2026-03-26,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500256326,,,5.68
2026-03-26,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW13058685,,,7.11
2026-03-26,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500256548,,,4.88
2026-03-26,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500256555,,,5.68
